iati-identifier,title,country,region,default-currency,commitment,disbursement,reimbursement,expenditure,loan-repayment,interest-repayment,description,start-planned,start-actual,end-planned,end-actual,activity-status-code,activity-status,policy-markers,policy-marker-vocabulary,policy-marker-significance,policy-marker-codes,contact-organisation,contact-telephone,contact-email,contact-mailing-address,default-tied-status-code,default-tied-status,
"US-EIN-941655673-24869","for general support of the Basic Education Coalition","","International","USD",500000,0,0,0,0,0,"","2007-06-11","","2008-06-11","","","","","","","","Academy for Educational Development, Inc.","(202) 884-8102","","1825 Connecticut Avenue, N.W., Suite 1000 Washington, DC  20009-5721","5","Untied",
"US-EIN-941655673-25881","for development of a strategy to expand and diversify the Basic Education Coalition's funding base","United States","","USD",30000,0,0,0,0,0,"","2007-11-30","","2008-11-30","","","","","","","","Academy for Educational Development, Inc.","(202) 884-8102","","1825 Connecticut Avenue, N.W., Suite 1000 Washington, DC  20009-5721","5","Untied",
"US-EIN-941655673-22935","for general support of the Basic Education Coalition","","International","USD",400000,0,0,0,0,0,"","2006-06-19","","2007-06-19","","","","","","","","Academy for Educational Development, Inc.","(202) 884-8102","","1825 Connecticut Avenue, N.W., Suite 1000 Washington, DC  20009-5721","5","Untied",
"US-EIN-941655673-26983","for general support of the Basic Education Coalition","","International","USD",400000,0,0,0,0,0,"","2008-07-21","","2009-07-21","","","","","","","","Academy for Educational Development, Inc.","(202) 884-8102","","1825 Connecticut Avenue, N.W., Suite 1000 Washington, DC  20009-5721","5","Untied",
"US-EIN-941655673-28518","for general support of the Basic Education Coalition","","International","USD",700000,0,0,0,0,0,"","2009-07-20","","2011-07-20","","","","","","","","Academy for Educational Development, Inc.","(202) 884-8102","","1825 Connecticut Avenue, N.W., Suite 1000 Washington, DC  20009-5721","5","Untied",
"US-EIN-941655673-25548","for general support","","Africa","USD",80000,0,0,0,0,0,"","2007-10-11","","2008-04-11","","","","","","","","ACE Agricultural Commodity Exchange for Africa Limited","011-265-1-710204/304","","Plot 28/251
Kanengo Light Industrial Area Kanengo, Lilongwe 4   Malawi","5","Untied",
"US-EIN-941655673-24239","for a project to expand and diversify sources of funding","Canada","","USD",25000,0,0,0,0,0,"","2006-12-08","","2007-12-08","","","","","","","","Action Canada for Population and Development","(613) 867-9752","","PO Box 52051 Ottawa, Ontario,   K1N 1B4 Canada","5","Untied",
"US-EIN-941655673-24724","for general operating support","","International","USD",300000,0,0,0,0,0,"","2007-06-11","","2008-06-11","","","","","","","","Action Canada for Population and Development","(613) 867-9752","","PO Box 52051 Ottawa, Ontario,   K1N 1B4 Canada","5","Untied",
"US-EIN-941655673-26199","for a study on biofuels production influence in Africa on rural economies and food security","","International","USD",400000,0,0,0,0,0,"","2008-03-17","","2010-03-17","","","","","","","","ActionAid USA","(202) 835-1240","","1420 K Street, N.W.
Suite 900 Washington, DC  20005","5","Untied",
"US-EIN-941655673-29650","for the Beira Agricultural Growth Corridor initiative","","Southern Africa","USD",400000,0,0,0,0,0,"","2010-01-31","","2010-12-01","","","","","","","","Africa Agricultural Development Company Limited","","","32 Lee Terrace
Blackheath London,   SE3 9TZ England","5","Untied",
"US-EIN-941655673-29136","for communications planning","","Africa","USD",50000,0,0,0,0,0,"","2009-11-17","","2010-11-17","","","","","","","","African Center for Economic Transformation","(703) 342-7823","","1015 18th Street, N.W.
Suite 210 Washington, DC  20036-5217","5","Untied",
"US-EIN-941655673-26862","for general support","","Africa","USD",2500000,0,0,0,0,0,"","2008-07-21","","2011-07-21","","","","","","","","African Center for Economic Transformation","(703) 342-7823","","1015 18th Street, N.W.
Suite 210 Washington, DC  20036-5217","5","Untied",
"US-EIN-941655673-25029","for general support","","Africa","USD",200000,0,0,0,0,0,"","2007-06-11","","2008-06-11","","","","","","","","African Center for Economic Transformation","(703) 342-7823","","1015 18th Street, N.W.
Suite 210 Washington, DC  20036-5217","5","Untied",
"US-EIN-941655673-29575","for establishing a unit to advise on extractive resource issues","","Africa","USD",190000,0,0,0,0,0,"","2010-03-22","","2011-03-22","","","","","","","","African Center for Economic Transformation","(703) 342-7823","","1015 18th Street, N.W.
Suite 210 Washington, DC  20036-5217","5","Untied",
"US-EIN-941655673-30065","for establishing a unit to advise on extractive resource issues","","Africa","USD",1310000,0,0,0,0,0,"","2010-11-15","","2013-11-15","","","","","","","","African Center for Economic Transformation","(703) 342-7823","","1015 18th Street, N.W.
Suite 210 Washington, DC  20036-5217","5","Untied",
"US-EIN-941655673-26203","for a graduate program in Agricultural Economics  at the African Economic Research Consortium","","Africa","USD",565000,0,0,0,0,0,"","2008-03-17","","2010-03-17","","","","","","","","African Economic Research Consortium, Inc.","011-254-20-2734150/3/7","","Mebank Towers, Third Floor
P.O. Box 62882-00200 Nairobi,   00200 Kenya","5","Untied",
"US-EIN-941655673-29207","for a project to develop indices for measuring the quality of service delivery in Africa","","Africa","USD",400000,0,0,0,0,0,"","2009-11-23","","2010-11-23","","","","","","","","African Economic Research Consortium, Inc.","011-254-20-2734150/3/7","","Mebank Towers, Third Floor
P.O. Box 62882-00200 Nairobi,   00200 Kenya","5","Untied",
"US-EIN-941655673-26427","for a project to develop indices for measuring the quality of service delivery in Africa","","Africa","USD",379000,0,0,0,0,0,"","2008-04-04","","2009-04-04","","","","","","","","African Economic Research Consortium, Inc.","011-254-20-2734150/3/7","","Mebank Towers, Third Floor
P.O. Box 62882-00200 Nairobi,   00200 Kenya","5","Untied",
"US-EIN-941655673-28882","for communicating research on economic development, reproductive health and population dynamics","","Africa","USD",50000,0,0,0,0,0,"","2009-11-16","","2010-11-16","","","","","","","","African Economic Research Consortium, Inc.","011-254-20-2734150/3/7","","Mebank Towers, Third Floor
P.O. Box 62882-00200 Nairobi,   00200 Kenya","5","Untied",
"US-EIN-941655673-26573","for general operating support","","Africa","USD",200000,0,0,0,0,0,"","2008-07-21","","2010-07-21","","","","","","","","African Economic Research Consortium, Inc.","011-254-20-2734150/3/7","","Mebank Towers, Third Floor
P.O. Box 62882-00200 Nairobi,   00200 Kenya","5","Untied",
"US-EIN-941655673-23915","for conducting a meeting titled Poverty Reduction and Economic Growth: The Impact of Population Dynamics and Reproductive Health Outcomes in Africa","","Africa","USD",100000,0,0,0,0,0,"","2006-09-25","","2007-09-25","","","","","","","","African Economic Research Consortium, Inc.","011-254-20-2734150/3/7","","Mebank Towers, Third Floor
P.O. Box 62882-00200 Nairobi,   00200 Kenya","5","Untied",
"US-EIN-941655673-23362","for general operating support","","Africa","USD",200000,0,0,0,0,0,"","2006-10-16","","2008-10-16","","","","","","","","African Economic Research Consortium, Inc.","011-254-20-2734150/3/7","","Mebank Towers, Third Floor
P.O. Box 62882-00200 Nairobi,   00200 Kenya","5","Untied",
"US-EIN-941655673-24241","for support of management organizational structuring and development","","Africa","USD",41451,0,0,0,0,0,"","2006-12-01","","2007-12-01","","","","","","","","African Population and Health Research Centre Inc.","011-254-20-2720400","","Second Floor,  Shelter Afrique Entre
Longonot Road, Upper Hill
P.O. Box 10787 Nairobi,   00100 Kenya","5","Untied",
"US-EIN-941655673-23494","for general operating support","","Africa","USD",1500000,0,0,0,0,0,"","2006-10-16","","2009-10-16","","","","","","","","African Population and Health Research Centre Inc.","011-254-20-2720400","","Second Floor,  Shelter Afrique Entre
Longonot Road, Upper Hill
P.O. Box 10787 Nairobi,   00100 Kenya","5","Untied",
"US-EIN-941655673-22970","for improving the overall effectiveness of the Centre","","Africa","USD",25000,0,0,0,0,0,"","2006-04-04","","2007-04-04","","","","","","","","African Population and Health Research Centre Inc.","011-254-20-2720400","","Second Floor,  Shelter Afrique Entre
Longonot Road, Upper Hill
P.O. Box 10787 Nairobi,   00100 Kenya","5","Untied",
"US-EIN-941655673-23343","for work with community groups and programs to promote the well-being of Africans in slum communities","","Africa","USD",30000,0,0,0,0,0,"","2006-06-19","","2007-06-19","","","","","","","","African Population and Health Research Centre Inc.","011-254-20-2720400","","Second Floor,  Shelter Afrique Entre
Longonot Road, Upper Hill
P.O. Box 10787 Nairobi,   00100 Kenya","5","Untied",
"US-EIN-941655673-26305","for emergency relief funding in Kenya","Kenya","","USD",75000,0,0,0,0,0,"","2008-03-10","","2009-03-10","","","","","","","","African Population and Health Research Centre Inc.","011-254-20-2720400","","Second Floor,  Shelter Afrique Entre
Longonot Road, Upper Hill
P.O. Box 10787 Nairobi,   00100 Kenya","5","Untied",
"US-EIN-941655673-27547","for developing and implementing a monitoring and evaluation framework system","","Africa","USD",200000,0,0,0,0,0,"","2008-11-17","","2009-11-17","","","","","","","","African Population and Health Research Centre Inc.","011-254-20-2720400","","Second Floor,  Shelter Afrique Entre
Longonot Road, Upper Hill
P.O. Box 10787 Nairobi,   00100 Kenya","5","Untied",
"US-EIN-941655673-29017","for implementation of the findings of an organizational assessment","","Africa","USD",300000,0,0,0,0,0,"","2009-11-16","","2011-11-16","","","","","","","","African Population and Health Research Centre Inc.","011-254-20-2720400","","Second Floor,  Shelter Afrique Entre
Longonot Road, Upper Hill
P.O. Box 10787 Nairobi,   00100 Kenya","5","Untied",
"US-EIN-941655673-28226","for general operating support","","Africa","USD",2750000,0,0,0,0,0,"","2009-07-20","","2012-07-20","","","","","","","","African Population and Health Research Centre Inc.","011-254-20-2720400","","Second Floor,  Shelter Afrique Entre
Longonot Road, Upper Hill
P.O. Box 10787 Nairobi,   00100 Kenya","5","Untied",
"US-EIN-941655673-29839","for the videoconferencing project","","International","USD",35000,0,0,0,0,0,"","2010-07-30","","2011-07-30","","","","","","","","African Population and Health Research Centre Inc.","011-254-20-2720400","","Second Floor,  Shelter Afrique Entre
Longonot Road, Upper Hill
P.O. Box 10787 Nairobi,   00100 Kenya","5","Untied",
"US-EIN-941655673-30568","for support of APHRC's Education program","Kenya","","USD",1500000,0,0,0,0,0,"","2011-03-21","","2014-03-21","","","","","","","","African Population and Health Research Centre Inc.","011-254-20-2720400","","Second Floor,  Shelter Afrique Entre
Longonot Road, Upper Hill
P.O. Box 10787 Nairobi,   00100 Kenya","5","Untied",
"US-EIN-941655673-26273","for general support for APHRC's Education program","Kenya","","USD",1533000,0,0,0,0,0,"","2008-03-17","","2011-03-17","","","","","","","","African Population and Health Research Centre Inc.","011-254-20-2720400","","Second Floor,  Shelter Afrique Entre
Longonot Road, Upper Hill
P.O. Box 10787 Nairobi,   00100 Kenya","5","Untied",
"US-EIN-941655673-24141","for the Education Research Program's strategic planning process","","Africa","USD",193000,0,0,0,0,0,"","2006-12-08","","2007-12-08","","","","","","","","African Population and Health Research Centre Inc.","011-254-20-2720400","","Second Floor,  Shelter Afrique Entre
Longonot Road, Upper Hill
P.O. Box 10787 Nairobi,   00100 Kenya","5","Untied",
"US-EIN-941655673-29221","for a strategic funder's initiative on transparency and accountability issues","","International","USD",150000,0,0,0,0,0,"","2009-12-01","","2010-11-23","","","","","","","","Alliance for Open Society International, Inc.","(212) 548-0600","","400 West Fifty-ninth Street New York, NY  10019","5","Untied",
"US-EIN-941655673-26428","for assessing the design, execution, and impact of social programs provided by NGO intermediaries","Mexico","","USD",70000,0,0,0,0,0,"","2008-04-16","","2009-10-16","","","","","","","","Alternativas y Capacidades A.C.","011-55-56688502","","Av. Luis Cabrera #138-1
Col. San Jeronimo Aculco Mexico City, Mexico  10400","5","Untied",
"US-EIN-941655673-29137","for the production of a public radio program on revitalizing US foreign assistance","","International","USD",100000,0,0,0,0,0,"","2009-11-18","","2010-11-18","","","","","","","","America Abroad Media","(202) 457-8050","","1020 Nineteenth Street
Suite 650 Washington, DC  20036","5","Untied",
